timestamp,Infrared to Red Signal Ratio
09/21/21 00:00:59,-1
09/21/21 00:01:59,36
09/21/21 00:02:59,1
09/21/21 00:03:59,18
09/21/21 00:04:59,-2
09/21/21 00:05:59,2
09/21/21 00:06:59,0
09/21/21 00:07:59,0
09/21/21 00:08:59,0
09/21/21 00:09:59,1
09/21/21 00:10:59,14
09/21/21 00:11:59,32
09/21/21 00:12:59,17
09/21/21 00:13:59,1
09/21/21 00:14:59,-2
09/21/21 00:15:59,1
09/21/21 00:16:59,4
09/21/21 00:17:59,-1
09/21/21 00:18:59,-8
09/21/21 00:19:59,-13
09/21/21 00:20:59,0
09/21/21 00:21:59,-15
09/21/21 00:22:59,-9
09/21/21 00:23:59,0
09/21/21 00:24:59,6
09/21/21 00:25:59,0
09/21/21 00:26:59,0
09/21/21 00:27:59,0
09/21/21 00:28:59,-2
09/21/21 00:29:59,4
09/21/21 00:30:59,-7
09/21/21 00:31:59,10
09/21/21 00:32:59,7
09/21/21 00:33:59,24
09/21/21 00:34:59,0
09/21/21 00:35:59,0
09/21/21 00:36:59,4
09/21/21 00:37:59,3
09/21/21 00:38:59,9
09/21/21 00:39:59,-3
09/21/21 00:40:59,-3
09/21/21 00:41:59,0
09/21/21 00:42:59,0
09/21/21 00:43:59,18
09/21/21 00:44:59,0
09/21/21 00:45:59,8
09/21/21 00:46:59,0
09/21/21 00:47:59,-4
09/21/21 00:48:59,0
09/21/21 00:49:59,-21
09/21/21 00:50:59,0
09/21/21 00:51:59,-2
09/21/21 00:52:59,12
09/21/21 00:53:59,2
09/21/21 00:54:59,0
09/21/21 00:55:59,1
09/21/21 00:56:59,-12
09/21/21 00:57:59,9
09/21/21 00:58:59,0
09/21/21 00:59:59,2
09/21/21 01:00:59,-6
09/21/21 01:01:59,-43
09/21/21 01:02:59,7
09/21/21 01:03:59,-17
09/21/21 01:04:59,-17
09/21/21 01:05:59,5
09/21/21 01:07:01,-12
09/21/21 01:08:01,-2
09/21/21 01:09:01,0
09/21/21 01:10:01,-8
09/21/21 01:11:01,-63
09/21/21 01:12:01,15
09/21/21 01:13:01,-3
09/21/21 01:14:01,-14
09/21/21 01:15:01,-5
09/21/21 01:16:01,-38
09/21/21 01:17:01,0
09/21/21 01:18:01,0
09/21/21 01:19:01,-3
09/21/21 01:20:01,-17
09/21/21 01:21:01,2
09/21/21 01:22:01,5
09/21/21 01:23:01,-5
09/21/21 01:24:01,0
09/21/21 01:25:01,0
09/21/21 01:26:01,16
09/21/21 01:27:01,-43
09/21/21 01:28:01,0
09/21/21 01:29:01,7
09/21/21 01:30:01,30
09/21/21 01:31:01,0
09/21/21 01:32:01,0
09/21/21 01:33:01,0
09/21/21 01:34:01,0
09/21/21 01:35:01,0
09/21/21 01:36:01,32
09/21/21 01:37:01,-8
09/21/21 01:38:01,0
09/21/21 01:39:01,5
09/21/21 01:40:01,4
09/21/21 01:41:01,-5
09/21/21 01:42:01,0
09/21/21 01:43:01,0
09/21/21 01:44:01,0
09/21/21 01:45:01,-12
09/21/21 01:46:01,-4
09/21/21 01:47:01,17
09/21/21 01:48:03,-4
09/21/21 01:49:03,17
09/21/21 01:50:03,17
09/21/21 01:51:03,0
09/21/21 01:52:03,-2
09/21/21 01:53:03,3
09/21/21 01:54:03,0
09/21/21 01:55:03,1
09/21/21 01:56:03,2
09/21/21 01:57:03,10
09/21/21 01:58:03,0
09/21/21 01:59:03,-23
09/21/21 02:00:03,0
09/21/21 02:01:03,9
