timestamp,bucket_values
2021-06-14T03:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.026, 0.087, 0.209, 0.353, 0.245, 0.06, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-14T06:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.018, 0.057, 0.145, 0.269, 0.253, 0.176, 0.06, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-15T06:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.008, 0.015, 0.042, 0.111, 0.21, 0.254, 0.204, 0.11, 0.033, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-16T06:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.008, 0.019, 0.1, 0.289, 0.307, 0.194, 0.063, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-17T06:43:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.005, 0.024, 0.069, 0.19, 0.309, 0.226, 0.125, 0.037, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-18T04:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.009, 0.085, 0.173, 0.274, 0.278, 0.111, 0.045, 0.016, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-19T07:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.016, 0.067, 0.235, 0.294, 0.254, 0.096, 0.023, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-20T06:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.005, 0.01, 0.066, 0.241, 0.346, 0.239, 0.072, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-21T04:54:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.003, 0.017, 0.083, 0.168, 0.205, 0.252, 0.195, 0.058, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-22T08:18:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.036, 0.064, 0.098, 0.256, 0.313, 0.167, 0.05, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-23T05:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.009, 0.035, 0.121, 0.298, 0.313, 0.158, 0.044, 0.01, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-24T06:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.021, 0.071, 0.113, 0.21, 0.277, 0.195, 0.075, 0.018, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
