timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-08-01T06:22:30,14.6,0.6,8.327,14.4,1.7,12.959,,,,9.0,0.5,2.777
2021-08-02T08:02:30,14.4,0.8,11.939,13.8,0.7,9.907,,,,15.8,1.5,4.391
2021-08-03T03:06:30,13.6,0.7,5.784,13.8,1.2,17.301,,,,13.2,3.5,5.315
2021-08-04T09:28:30,14.0,1.1,11.281,13.8,1.5,7.429,,,,12.8,1.3,4.681
2021-08-05T08:00:00,14.2,0.9,9.726,14.0,1.0,6.538,,,,14.2,2.1,5.693
2021-08-06T07:33:00,14.0,0.9,11.691,13.8,1.2,6.593,,,,13.4,1.8,5.876
2021-08-07T07:24:30,14.0,1.0,10.031,14.4,1.3,8.886,,,,13.4,0.7,4.642
2021-08-08T06:07:30,14.4,1.6,11.698,14.0,1.3,11.263,,,,13.6,1.1,4.009
2021-08-10T08:06:00,13.6,1.2,13.012,14.8,1.2,7.026,,,,13.2,1.6,5.105
2021-08-11T08:03:30,14.4,1.1,14.17,13.6,1.2,16.357,,,,13.4,3.5,5.347
2021-08-12T08:56:30,13.8,1.0,11.564,14.2,0.9,8.827,,,,14.4,1.4,5.56
2021-08-13T04:39:00,13.8,0.6,8.463,13.4,1.4,13.319,,,,13.8,1.4,6.111
2021-08-14T07:24:00,14.0,0.6,11.082,12.6,0.9,9.791,,,,13.4,2.3,4.333
2021-08-15T06:00:00,13.8,0.7,14.979,14.2,1.4,10.298,,,,14.4,1.4,2.722
