DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-05-06T00:00:00,2021-05-06T04:35:44.249,0,0,0,0,0,0,0,NO_DATA,true
2021-05-07T00:00:00,2021-05-07T05:37:39.978,71,18,30,20,30,33,40,READY,false
2021-05-08T00:00:00,2021-05-08T03:19:31.646,75,18,30,21,30,36,40,READY,false
2021-05-09T00:00:00,2021-05-10T15:08:35.417,92,29,30,25,30,38,40,READY,false
2021-05-10T00:00:00,2021-05-10T15:08:34.649,90,27,30,23,30,40,40,READY,false
2021-05-11T00:00:00,2021-05-11T04:28:20.051,87,28,30,19,30,40,40,READY,false
2021-05-12T00:00:00,2021-05-13T19:23:40.479,86,26,30,20,30,40,40,READY,false
2021-05-13T00:00:00,2021-05-13T19:23:41.526,86,27,30,21,30,38,40,READY,false
2021-05-14T00:00:00,2021-05-19T19:44:28.893,82,23,30,19,30,40,40,READY,false
2021-05-15T00:00:00,2021-05-19T19:44:29.033,81,21,30,20,30,40,40,READY,false
2021-05-16T00:00:00,2021-05-19T19:44:29.737,87,27,30,20,30,40,40,READY,false
2021-05-17T00:00:00,2021-05-19T19:44:29.834,88,28,30,21,30,39,40,READY,false
2021-05-18T00:00:00,2021-05-19T19:44:29.06,80,21,30,19,30,40,40,READY,false
2021-05-19T00:00:00,2021-05-19T19:44:29.314,88,25,30,24,30,39,40,READY,false
2021-05-20T00:00:00,2021-05-21T13:35:02.381,78,19,30,19,30,40,40,READY,false
2021-05-21T00:00:00,2021-05-21T13:34:54.408,82,20,30,23,30,39,40,READY,false
2021-05-22T00:00:00,2021-05-22T06:00:40.912,85,25,30,22,30,38,40,READY,false
2021-05-23T00:00:00,2021-05-23T02:34:30.911,81,21,30,23,30,37,40,READY,false
2021-05-24T00:00:00,2021-05-26T03:30:23.119,85,25,30,23,30,37,40,READY,false
2021-05-25T00:00:00,2021-05-26T03:30:22.332,86,25,30,23,30,38,40,READY,false
2021-05-26T00:00:00,2021-05-26T03:30:23.292,86,24,30,25,30,37,40,READY,false
2021-05-27T00:00:00,2021-05-27T16:40:29.24,86,24,30,25,30,37,40,READY,false
2021-05-28T00:00:00,2021-05-28T08:35:17.975,71,17,30,17,30,37,40,READY,false
2021-05-29T00:00:00,2021-05-29T15:37:56.472,75,16,30,22,30,37,40,READY,false
2021-05-30T00:00:00,2021-05-30T05:39:16.181,85,25,30,23,30,37,40,READY,false
2021-05-31T00:00:00,2021-06-02T10:48:48.48,86,29,30,20,30,37,40,READY,false
2021-06-01T00:00:00,2021-06-02T10:48:45.65,85,29,30,19,30,37,40,READY,false
2021-06-02T00:00:00,2021-06-02T10:48:45.922,75,23,30,15,30,37,40,READY,false
2021-06-03T00:00:00,2021-06-03T04:44:15.789,88,25,30,26,30,37,40,READY,false
2021-06-04T00:00:00,2021-06-04T11:10:32.505,83,25,30,21,30,37,40,READY,false
2021-06-05T00:00:00,2021-06-06T11:48:15.096,89,28,30,25,30,36,40,READY,false
2021-06-06T00:00:00,2021-06-06T11:48:13.115,81,21,30,24,30,36,40,READY,false
2021-06-07T00:00:00,2021-06-10T20:57:56.46,82,25,30,25,30,32,40,READY,false
2021-06-08T00:00:00,2021-06-10T20:57:58.327,84,27,30,24,30,33,40,READY,false
2021-06-09T00:00:00,2021-06-10T20:57:56.245,84,29,30,22,30,33,40,READY,false
2021-06-10T00:00:00,2021-06-10T20:57:55.44,81,21,30,26,30,34,40,READY,false
2021-06-11T00:00:00,2021-06-11T07:11:34.532,79,24,30,20,30,35,40,READY,false
2021-06-12T00:00:00,2021-06-12T18:38:32.543,75,20,30,19,30,36,40,READY,false
2021-06-13T00:00:00,2021-06-13T13:25:04.552,80,23,30,22,30,35,40,READY,false
2021-06-14T00:00:00,2021-06-14T05:12:57.595,78,21,30,23,30,34,40,READY,false
2021-06-15T00:00:00,2021-06-15T13:01:17.296,84,28,30,22,30,34,40,READY,false
2021-06-16T00:00:00,2021-06-19T10:59:46.086,83,26,30,22,30,35,40,READY,false
2021-06-17T00:00:00,2021-06-19T10:59:44.97,84,25,30,26,30,33,40,READY,false
2021-06-18T00:00:00,2021-06-19T10:59:44.373,76,23,30,18,30,35,40,READY,false
2021-06-19T00:00:00,2021-06-19T10:59:43.879,73,21,30,20,30,32,40,READY,false
2021-06-20T00:00:00,2021-06-20T13:57:34.228,82,24,30,24,30,34,40,READY,false
2021-06-21T00:00:00,2021-06-21T06:08:02.47,75,21,30,21,30,33,40,READY,false
2021-06-22T00:00:00,2021-06-22T07:06:43.216,79,28,30,16,30,35,40,READY,false
2021-06-23T00:00:00,2021-06-23T11:18:18.807,86,26,30,26,30,34,40,READY,false
2021-06-24T00:00:00,2021-06-24T10:09:10.595,83,25,30,24,30,34,40,READY,false
2021-06-25T00:00:00,2021-06-26T19:03:57.375,79,26,30,20,30,33,40,READY,false
2021-06-26T00:00:00,2021-06-26T19:03:57.025,81,24,30,22,30,35,40,READY,false
2021-06-27T00:00:00,2021-06-27T06:58:43.974,78,23,30,19,30,36,40,READY,false
2021-06-28T00:00:00,2021-06-28T20:12:15.257,74,21,30,15,30,38,40,READY,false
2021-06-29T00:00:00,2021-06-29T06:58:47.606,85,23,30,23,30,39,40,READY,false
2021-06-30T00:00:00,2021-06-30T06:36:46.68,84,26,30,19,30,39,40,READY,false
2021-07-01T00:00:00,2021-07-03T05:54:27.983,76,20,30,18,30,38,40,READY,false
2021-07-02T00:00:00,2021-07-03T05:54:29.464,80,23,30,20,30,37,40,READY,false
2021-07-03T00:00:00,2021-07-03T13:53:03.002,82,24,30,21,30,37,40,READY,false
2021-07-04T00:00:00,2021-07-04T06:36:19.075,85,27,30,22,30,36,40,READY,false
2021-07-05T00:00:00,2021-07-05T02:14:01.584,76,25,30,19,30,32,40,READY,false
2021-07-06T00:00:00,2021-07-07T12:02:54.767,77,22,30,20,30,35,40,READY,false
2021-07-07T00:00:00,2021-07-07T12:02:54.191,84,24,30,26,30,34,40,READY,false
2021-07-08T00:00:00,2021-07-08T03:02:50.309,84,25,30,25,30,34,40,READY,false
2021-07-09T00:00:00,2021-07-09T16:47:15.899,78,23,30,22,30,33,40,READY,false
2021-07-10T00:00:00,2021-07-10T06:53:44.882,74,21,30,20,30,33,40,READY,false
2021-07-11T00:00:00,2021-07-11T00:36:17.357,75,19,30,20,30,36,40,READY,false
2021-07-12T00:00:00,2021-07-12T03:16:20.95,82,25,30,19,30,38,40,READY,false
2021-07-15T00:00:00,2021-07-20T10:59:38.285,0,0,0,0,0,0,0,NO_DATA,true
2021-07-16T00:00:00,2021-07-20T10:59:38.52,80,19,30,21,30,40,40,READY,false
2021-07-17T00:00:00,2021-07-20T10:59:39.252,84,24,30,20,30,40,40,READY,false
2021-07-18T00:00:00,2021-07-20T10:59:38.06,82,22,30,20,30,40,40,READY,false
2021-07-19T00:00:00,2021-07-20T10:59:39.929,84,27,30,21,30,36,40,READY,false
2021-07-20T00:00:00,2021-07-20T10:59:39.166,78,24,30,18,30,36,40,READY,false
2021-07-21T00:00:00,2021-07-21T06:52:33.944,74,16,30,22,30,36,40,READY,false
2021-07-22T00:00:00,2021-07-26T17:12:58.265,75,16,30,23,30,36,40,READY,false
2021-07-23T00:00:00,2021-07-26T17:12:59.477,82,26,30,20,30,36,40,READY,false
2021-07-24T00:00:00,2021-07-26T17:12:58.142,76,19,30,24,30,33,40,READY,false
2021-07-25T00:00:00,2021-07-26T17:12:57.702,76,16,30,25,30,35,40,READY,false
2021-07-26T00:00:00,2021-07-26T17:12:58.335,74,20,30,20,30,34,40,READY,false
2021-07-27T00:00:00,2021-07-27T14:29:15.468,74,25,30,16,30,33,40,READY,false
2021-07-28T00:00:00,2021-07-28T06:13:54.019,82,25,30,25,30,32,40,READY,false
2021-07-29T00:00:00,2021-07-29T06:05:03.071,83,28,30,19,30,36,40,READY,false
2021-07-30T00:00:00,2021-07-30T15:46:17.301,81,22,30,23,30,36,40,READY,false
2021-07-31T00:00:00,2021-07-31T06:50:32.52,73,21,30,20,30,32,40,READY,false
2021-08-01T00:00:00,2021-08-01T13:16:00.81,76,21,30,19,30,36,40,READY,false
